licensetype	businessname	legaldescription	description	subtype	job_value
			INSTALL EROSION CONTROL ROCKERY ACCESSORY TO SINGLE FAMILY RESIDENCE, PER PLOT PLAN AND SUBJECT TO FIELD INSPECTION, (STFI)		
			RELOCATE PORTION OF AN EXISTING FLOAT ON SITE FOR EXPANSION OF A PIER THAT IS ACCESSORY TO A SINGLE FAMILY RESIDENCE, PER PLANS		
			EMERGENCY SLIDE REPAIR, PER PLANS		
			Zoning Coaching Request - Construct two new townhoues with access from Portage Bay. Questions- How to calculate FAR and density with an existing building. Confirm access and parking requirements.	SINGLE FAMILY / DUPLEX	
			SHORELINE SUBSTANTIAL DEVELOPMENT PERMIT TO EST. THE USE FOR FUTURE CONSTRUCTION OF A 3-STORY COM. BUILDING (RETAIL, ADM. OFFICE, STORAGE, AC. PARKING FOR 12 STALLS WITHIN THE STRUCTURE)		
ELECTRICAL CONTRACTOR LICENSE	A L C ELECTRIC CORPORATION		CONCRETE ENCASED ELECTRODE GROUNDING PERMIT; BLDG PERMIT 6106637	SINGLE FAMILY / DUPLEX	
		E 65' OF LOTS 7-8, BLK 4, BUENA VISTA ADDITION #2 , LESS POR FOR STREET OA#17989	Revision to single family to add 2nd story.	SINGLE FAMILY / DUPLEX	
			NON-STRUCTURAL INTERIOR ALTERATIONS FOR KITCHEN/ BASEMENT REMODEL IN EXISTING SINGLE FAMILY RESIDENCE, SUBJECT TO FIELD INSPECTION (STFI)		
					
ELECTRICAL CONTRACTOR LICENSE	PACIFIC COAST LIGHTING & ELEC		LIGHTING RETROFIT FOR SEATTLE CITY LIGHT	MULTIFAMILY	
		LTS 1, 2, 3 & 4, BLK B,LATTA'S ADDITION	Television (KOMO) antenna replacements and broadcast tower structural upgrades per plan.	COMMERCIAL	$600,000.00
ELECTRICAL CONTRACTOR LICENSE	ACTIVE ELECTRIC CORPORATION		TO COMPLETE WORK BEGUN BY OTHERS UNDER AP#6168523	MULTIFAMILY	
		PARCEL B, LBA#3004595	Establish use for multi-family structures and construct 1-(3)unit dwelling with attached garages and occupy, per plnas (review and processing for (2) a/ps under #6092791).	MULTIFAMILY	$428,556.00
ELECTRICAL CONTRACTOR LICENSE	PARAGON ELECTRICAL CONTRACTING		WIRE BASEMENT SFR	SINGLE FAMILY / DUPLEX	
			RELOCATE EXISTING ANTENNA FROM INSIDE TO OUTSIDE OF TOWER FRAMEWORK, PER PLANS		
			LBA - DEMO EXISTING SINGLE FAMILY RESIDENCE, DIVIDE	SINGLE FAMILY / DUPLEX	
			TO SUBDIVIDE A PARCEL INTO TWO PARCELS OF LAND.		
ELECTRICAL CONTRACTOR LICENSE	INTERBAY ELECTRIC INC		WIRE EXTERIOR LIGHTING/OUTLETS & PUMP	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	A & E HEATING INCORPORATED		REPLACE EXISTING FURNACE	SINGLE FAMILY / DUPLEX	
			CONSTRUCT SECOND STORY ADDITION AND REMODEL PART OF THE EXISTING SINGLE FAMILY RESIDENCE PER PLAN		
			VOLUNTARY SEISMIC UPGRADE FOR PROJECT IMPACT. PER PLANS		
			ALTERATIONS AND ADDITIONS TO EXISTING SINGLE FAMILY RESIDENCE ALL PER PLAN		
			INSTALL MANUFACTURED FIREPLACE,REPLACE WINDOWS (NO INCREASE IN GLAZING AREA),& INTERIOR ALTS TO SFR,SUBJECT TO FIELD INSPECTION (STFI)		
			ENLARGE 2ND FLR BY RAISING WALLS,REMODEL INT; STFI		
		LTS 11 & 12, BLK 17, COMSTOCK ADDITION	Shoring and excavation for future construction of an assisted living and retail building with below grade parking, per plan.	MULTIFAMILY	$0.00
ELECTRICAL CONTRACTOR LICENSE	BRADLEY ELECTRIC LLC		INSTALL HEAT TAPE FOR SPRINKLER PIPING	COMMERCIAL	
	NEESON ELECTRIC LLC		SECURTIY,TELEPHONE,DATA	MULTIFAMILY	
			Construct deck addition and interior non-structural alterations to basement, 1st & 2nd floors of existing single family residence, Subject to Field Inspection (STFI).	SINGLE FAMILY / DUPLEX	$45,000.00
		PARCEL A, LBA #8600475, KCR # 860640502	Construct 2nd story addition to existing single family residence per plan.	SINGLE FAMILY / DUPLEX	$175,000.00
ELECTRICAL CONTRACTOR LICENSE	AGAPE ELECTRIC INCORPORATED		WIRE NEW DETACHED ART STUDIO. 11/20/08 bew REMOVED SERVICE & ADDED FEEDER AND HW DEDICATED CIRCUIT	SINGLE FAMILY / DUPLEX	
	ADT SECURITY SERVICES INC		INSTALL SECURITY SYSTEM	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	SEQUOYAH ELECTRIC LLC		RELOCATE 400A TEMP SERVICE, ORIGINALLY INSPECTED UNDER A/P #6086187, REF BLDG A/P #6077647 - OTC PER GIBBS	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	DW ELECTRIC LLC		INSTALLING NEW 120V AND 240V CIRCUITS FOR A RESTAURANT	COMMERCIAL	
		PICK-NORT, A CONDOMINIUM (VOL 38, PG 39)	Closed as Incomplete - Expired Permit ALTERATIONS REPLACING DOORS,DECK RAILS, STAIRS, & RETAINING WALL REPLACEMENT FOR EXISTING DUPLEX PER PLAN	SINGLE FAMILY / DUPLEX	$60,000.00
			TENANT IMPROVEMENT TO EXISTING BUILDING ALL PER PLAN		
			CHANGE THE USE OF 45717 LIGHT MANUFACTURING TO OFFICE AND ADD 22890 OF OFFICE WITHIN EXIST.STRUCT		
			INSTALL DUCTWORK AND DIFFUSERS 1ST FLOOR (GALER OFFICE BUILDING) PER PLOT PLAN & SUBJECT TO FIELD INSPECTION (STFI)		
			COMPLETE & FINAL WORK OF PERMIT: 665308 (INTERIOR ALTERATIONS TO BASEMENT OF SFR, STFI - EXPIRED 940420) SUBJECT TO FIELD INSPECTION		
			2ND FLR ADDITION TO EXISTING SFR ALTERATIONS TO LOWER & 1ST FLRS TO EXISTING SFR PER PLAN		
			INTERIOR NON-STRUCTURAL ALTERATIONS TO EXISTING CONDO BLDG (UNIT #312), SUBJ. TO FIELD INSPECTION		
			CONST ADDITION TO BUILDING CHANGE USE OF PORTION OF BUILDING & OCCUPY AS RETAIL PLUS ONE ADDITIONAL DWELLING UNIT, PER PLAN COMPLETE ABOVE WORK OF PERMIT: 646007		
			ESTABLISH USE FOR SINGLE FAMILY RESIDENCE.		
			INSTALL ROOFTOP H/C UNIT, PER PLANS		
	WEST COAST DECKS	ALL OF LOT 21 & ELY 20' OF LOT 22, BLOCK 1, BRIGHTON BEACH ORCHARD ADD	Deck addition to single family residence, per plot plan subject to field inspection, STFI.	SINGLE FAMILY / DUPLEX	$6,616.00
			REPAIR SEWER LINE. SFR	SINGLE FAMILY / DUPLEX	
	SEATTLE SCHOOL DISTRICT (A&S)	BLKS 3 & 4, BIGELOW'S, TGW BLK 1, R.R. RILEY'S, TGW POR OF 3RD AV N, GALER ST, NOB HILL AV N & GARFIELD ST VAC UNDER VO 84781 & 85899	Construct rooftop alterations to existing John Hay Elementary School, per plan	INSTITUTIONAL	$25,000.00
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	ROSSOE ENERGY SYSTEMS INC		OIL TO OIL FURNACE CHANGE OUT	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	BOWIE ELECTRIC SVC&SUPPLY INC		RESIDENTIAL SERVICE CHANGE	SINGLE FAMILY / DUPLEX	
			CONSTRUCT ADDITIONS TO MAIN FLOOR OF SINGLE FAMILY RESIDENCE, INTERIOR ALTERATIONS, PER PLANS		
		W 1/2 OF LOTS 9-10, BLOCK 9, BIGELOWS ADD	Fix settling of foundation and increase square footage on the second floor. Add a one car garage to the basement level.	SINGLE FAMILY / DUPLEX	$0.00
REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	ACE CONSTRUCTION & LNDSCPG INC		WEEP HOLE TO CURB. RELATED CONSTRUCTION PERMIT 6235783	SINGLE FAMILY / DUPLEX	
		LOT 2, BLOCK 8, INTERLAKEN ADD	Establish use as single family residence and construct one family dwelling per plans. Existing SF residence to be changed to a detached garage.	SINGLE FAMILY / DUPLEX	$400,000.00
			CONSTRUCT 3RD FLOOR ADDITION AND 1ST FLOOR DECK TO SINGLE FAMILY RESIDENCE, PER PLANS COMPLETE ABOVE WORK OF PERMIT: 645528		
	KING CO WASTEWATER TRTMNT DIV	TERMINAL 91SEATTLE TIDE LDS IMP ONLY - M1 ACCT TAXABLE THROUGH PERSONAL PROPERTY (REF: 766620-1146	Construction of underground storage tank, associated piping, and ancillary building for combined sewer overflow (CSO) control including site improvements, per plan NOTE: A FULL REVISION APPROVAL BY DPD FOR SHORING AND DEWATERING IS REQUIRED BEFORE SITE WORK	COMMERCIAL	$1,325,697.00
	ADT SECURITY SERVICES INC		ADDITIONS TO EXISTING SYSTEM F/A SYSTEM [BLDG #392]	COMMERCIAL	
		THE EAST 50' OF LOTS 11-12, BLOCK 31, LAWS 2ND ADD	Construct voluntary seismic upgrades (Project Impact) to existing single family residence per plan.	SINGLE FAMILY / DUPLEX	$3,000.00
GENERAL CONTRACTOR LICENSE	PENINSULA CRYOGENIC SERVICES		INSTALLING NEW PRESSURE VESSEL	INDUSTRIAL	
ELECTRICAL CONTRACTOR LICENSE	STREAMLINE ELECTRICAL SER INC		200A SERVICE	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	POWER SOLUTIONS ELECTRIC LLC		UPPER FLOOR BATHROOM AND CLOSET REMODEL. REF: CONSTRUCTION PERMIT 6083121	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC.	ENVIROMECH		INSTALL (2) 5-TON A/C SPLIT SYSTEMS	COMMERCIAL	
			INTERIOR ALTERATIONS AND UPGRADE WINDOWS TO KITCHEN OF SINGLE FAMILY RESIDENCE PER SUBJECT TO FIELD INSPECTION (STFI)		
			KITCHEN REMODEL & FURR OUT & INSULATE WALLS AT 1ST FLOOR AND BASEMENT OF SINGLE FAMILY RESIDENCE STFI		
			DEMOLISH DETACHED GARAGE ESTABLISH USE FOR SINGLE FAMILY RESIDENCE CONSTRUCT ONE FAMILY DWELLING PER PLANS		
			REPAIR FOUNDATION OF SINGLE FAMILY RESIDENCE (REPLACE PORTION IN KIND), SUBJECT TO FIELD INSPECTION		
			INSTALL 3 EXHAUST FANS (ALL INTERIOR WORK EXCEPT FOR 3 WALL HOODS), SUBJECT TO FIELD INSPECTION		
	PORT OF SEATTLE ENGINEERING		Shoreline Exemption - Place 270 cubic yards of fill landward of Berth H		$0.00
			SHORELINE REVISION		
			construct deck existing sfr per STFI/site plan	SINGLE FAMILY / DUPLEX	$5,130.00
			INSTALL NEW ELEC FURNACE	SINGLE FAMILY / DUPLEX	
			STFI		
ELECTRICAL CONTRACTOR LICENSE	ELECTRO SERVE LLC		(2) 15-2OA DACS	SINGLE FAMILY / DUPLEX	
		LOT 13, BLOCK 2, DANNER'S 1ST ADD TO RAINIER BEACH	Re-establish permit 6139723, which expired on 11/17/2008.	SINGLE FAMILY / DUPLEX	
	PROTECTION ONE ALARM INC		LOW VOLTAGE SECURITY SYSTEM SFR	SINGLE FAMILY / DUPLEX	
	GUARDIAN SECURITY SYSTEMS INC		INSTALLING AES RADIO WIRELESS TRANSMITTER TO MONITOR EXISTING FACP	MULTIFAMILY	
	GUARDIAN SECURITY SYSTEMS INC		INSTALL AES RADIO WIRELESS TRANSMITTER	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	WASHINGTON ALARM INC		FIRE ALARM GET STARTED, REF #6266935.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	FULLER ELECTRIC INCORPORATED		INSTALL ELECTRICAL SYSTEM FOR ALL UNITS	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	FULLER ELECTRIC INCORPORATED		INSTALL ELECTRICAL SYSTEM FOR ALL UNITS. 10/31/2011 BEW RENEWED	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	RITEWAY ELECTRICAL & CONST INC		30 DAY GET STARTED FOR BRANCH CKTS ONLY, OKAY PER TIM PORTER. PLAN REVIEW UNDER #6257951.9/16/10 Extended an additional 1 week TR	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	HOLLYWOOD LIGHTS INCORPORATED		SPECIAL EVENT PERMIT FOR DANSKIN 8/19/07. READY TO INSPECT 8/17/07; CONTACT MIKE CHENOWETH AT 206/510-2719	COMMERCIAL	
			INSTALL A TYPE ONE COMMERCIAL HOOD, DUCTWORK, MAKE-UP AIR AND EXHAUST FAN AT GENESEE MINI MARKET ALL PER PLAN.		
ELECTRICAL CONTRACTOR LICENSE	BENNETT ELECTRIC INC		WIRE A SFR INCLUDES LV	SINGLE FAMILY / DUPLEX	
		LOT 47 LESS N 10 FT OF E 65 FT TTHEREOF & ALL LOT 48, BLOCK 10, WHITE & MANNINGS ADDN	Land Use Application to allow a 26' X 23' parking platform for existing duplex to be located in the required front setback.	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	FIVE STAR ELECTRIC LLC		TEMPORARY POWER POLL, 60 AMP, OH.	SINGLE FAMILY / DUPLEX	
			CONSTRUCT ELECTRICAL/SWITCHGEAR ROOM INSIDE COVERED PLAYCOURT; CONSTRUCT MDF ROOM ON 1ST FLOOR IN BOOK ROOM, SUBJECT TO FIELD INSPECTION (STFI).		
ELECTRICAL CONTRACTOR LICENSE, SPECIALTY CONTRACTOR LICENSE	RAINIER INDUSTRIES LTD		Replace existing canopy over main entrance with new canopy with graphics - GILMANOR 4051	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	SOUND ELECTRICAL SYSTEMS		INSPECTION OF IN GROUND CONDUIT - BLDG PERMIT #753294	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	SOUND ELECTRICAL SYSTEMS		TEMP POWER POLE	MULTIFAMILY	
		LT 1 & THE N 10' OF LT 2, BLOCK 168, GILMANS ADD, TGW VAC POR OF W WHEELER ST ADJ, PER VO# 76375	Alter east portion 1st floor for (1) new unit in existing 5-unit apartment building per plans.	MULTIFAMILY	$9,409.00
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	FISCHER PLUMBING CO INC, THE		REPAIR OF 4 INCH BURST PIPE	SINGLE FAMILY / DUPLEX	
			INTERIOR ALTERATIONS & REPAIRS TO SINGLE FAMILY RESIDENCE TO COMPLY WITH VIOL H-83-300, SUBJECT TO FIELD INSPECTION (STFI) COMPLETE ABOVE WORK OF PERMIT: 680211 COMPLETE ABOVE WORK OF PERMIT: 690005		
			Renew permit #6143221	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	NICHOLSON ELECTRIC LLC		REPLACE WIND DMAGED SERVICE	SINGLE FAMILY / DUPLEX	
			CONSTRUCT MIXED SUE BUILDING, PER PLANS COMPLETE WORK APPROVED UNDER PERMIT 685988		
		LOT 22, BLK 6, REPLAT OF BLOCKS 2, 5 & 6 OF LINCOLN BEACH PARK, EXC W 10'	Revise grading for single family residence, per plans.	SINGLE FAMILY / DUPLEX	$10,000.00
REFRIGERATION CONTRACTOR LIC.	PORTERS REFRIGERATION		INSTALL PIPING	SINGLE FAMILY / DUPLEX	
			CONSTRUCT DETACHED GARAGE ACCESSORY TO SINGLE FAMILY RESIDENCE, PER PLOT PLAN, SUBJECT TO FIELD INSPECTION		
GENERAL CONTRACTOR LICENSE	JACKSON REMODELING LLC	THAT POR OF LOT 2, BLOCK 9 DAF: BEG AT THE MOST WLY COR OF SD LT, TH SELY ALG THE SWLY LN THOR, 80' TO THE S COR OF SD LT, TH NLELY ALG THE SELY LN OF SD LT 90' TH NWLY 82' M/L TO A PT ON THE NWLY LN OF SD LT WHICH IS 105' NELY FR THE POB, TH SLWLY 105' TO THE POB.	Alterations to enlarge patio door and opening to kitchen and construct patio trellis for existing single family residence, subject to field inspection, STFI.	SINGLE FAMILY / DUPLEX	$8,000.00
			ESTABLISH USE FOR SINGLE FAMILY RESIDENCE AND CONSTRUCT NEW SFR W/ ATTACHED GARAGE PER PLANS		
REFRIGERATION CONTRACTOR LIC.	EVERGREEN STATE SHEET METAL		INSTALL PIPING FOR SPLIT SYSTEM HEAT PUMP	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	GREENWOOD HEATING AND AC		REPLACE GAS FURNACE	SINGLE FAMILY / DUPLEX	
			REPAIR EXISTING DECK IN KIND, SUBJECT TO FIELD INSPECTION		
			Installing duct work to existing system.	COMMERCIAL	
			Renew AP # 6293858 from 07/09/13 to 01/09/15.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	HILL ELECTRIC CORPORATION		INSTALL CEILING MOUNTED RECEPTACLE FOR PROJECTOR.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, REFRIGERAT	BEL RED ENERGY SOLUTIONS		REPLACE GAS FURNACE	SINGLE FAMILY / DUPLEX	
	ALARM CENTER INCORPORATED		RELOCATING AND ADDING ON TO EXISTING LV ACCESS CONTROL SYSTEM	COMMERCIAL	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	HOBART EXCAVATION SERVICE INC		RE-ROUTE SIDE SEWER. ELIMINATE PUMP; GRAVITY FLOW SYSTEM TO EX PSS	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC., ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	BLUE FLAME LLC		GAS FORCED AIR HEATING SYSTEM	SINGLE FAMILY / DUPLEX	
			INSTALL NEW SUBPANEL 3/8/05 CW - ABOUT TO EXPIRE LETTER SENT.	SINGLE FAMILY / DUPLEX	
			Canceled for failure to respond to ECON 3-8-2010 sgp CONVERTED FROM PTS #2400243.		
			ECA EXEMPTION REQUEST		
			TO SUBDIVIDE ONE PARCEL INTO FOUR PARCELS OF LAND.		
			FINAL INSPECTION TO PERMIT # 681049		
			CONSTRUCT DECK ADDITION TO SINGLE FAMILY RESIDENCE PER PLOT PLAN AND SUBJECT TO FIELD INSPECTION		
			ESTABLISH USE AS SINGLE FAMILY RESIDENCE & CONSTRUCT SINGLE FAMILY RESIDENCE ATTACHED GARAGE PER PLAN		
			ALTERATIONS TO 1ST FLOOR AND ESTABLISH ACCESSORY DWELLING UNIT IN EXISTING SINGLE FAMILY RESIDENCE PER PLAN		
			DEMOLITION OF (7) INDUSTRIAL STRUCTURES (11,965SF) GRADING FOR ACCESS (APPROX 175 CU YDS) ALL PER PLAN		
			DEMOLISH EXISTING DETACHED GARAGE AND ESTABLISH USE AS SINGLE FAMILY RESIDENCE AND CONSTRUCT NEW SINGLE FAMILY RESIDENCE PER PLANS		
			SFD ESTAB SFD SFD W/ATTACHED GAR		
			ADJUST BOUNDARY BETWEEN 2 PARCELS PER PLAN		
REFRIGERATION CONTRACTOR LIC.	OLSON ENERGY SERVICE		INSTALL PIPING FOR MINI SPLIT SYSTEM	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	ARTISAN ELECTRIC INC		[A ONE-LINE DIAGRAM WILL BE REQUIRED ON SITE AT THE TIME OF INSPECTION OF ANY RENEWABLE ENERGY SYSTEM. ] 7.02KW PV INSTALLATION	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	SYMMETRIC ELECTRIC AND THEATER		INSTALL TEMPORARY POWER POLE - BLDG PERMIT #752355	SINGLE FAMILY / DUPLEX	
		LOT 1, BLK 16, PLAT OF HIGH POINT COMMUNITY	CONSTRUCT SINGLE FAMILY RESIDENCE WITH DETACHED GARAGE PER PLAN (BLDG #4 3007 S.W. GRAHAM ST)		
			DEMOLISH EXISTING SINGLE FAMILY RESIDENCE; ESTABLISH USE AND CONSTRUCT A NEW SINGLE FAMILY RESIDENCE WITH ATTACHED GARAGE ALL PER PLAN		
			REGRADE EXISTING PLAYGROUND: CONSTRUCT BERMS, INSTALL NEW DRAINAGE SYSTEM, NEW TOPSOIL (APPROX 4880 CU YDS) PER PLAN COMPLETE ABOVE WORK OF PERMIT: 670115		
			CONSTRUCT COVERED HANDICAP RAMP, INTERIOR ALTERATIONS, AND ESTABLISH USE AS COMMUNITY CENTER & OCC. PER PLANS		
			ALTER EXISTING APARTMENT UNIT PER PLAN		
			Construct 78 townhouse units, 12 live/work units and one commercial structure (at the corner of 35th ave SW and SW Graham st) including the interconnecting streets.	MULTIFAMILY	$0.00
			Construct new SFR with attached garage on vacant land		
ELECTRICAL CONTRACTOR LICENSE	ALL CITY ELECTRIC INCORPORATED		MISC BRANCH WIRING FOR SFR	SINGLE FAMILY / DUPLEX	
			Remove upper floor and re-frame roof and main stair with other small interior alterations, subject to field inspection	SINGLE FAMILY / DUPLEX	$40,000.00
		LOT 28 & POR OF LOTS 29 & 30, BLK 6, MCKENZIE & DEMPSEY'S LAKE WASH, LYG S OF A LN 37.5' N OF & PLL TO S LN OF LOT 28 & E OF W LN OF LOT 28 PROD N	CLOSED AS INCOMPLETE - EXPIRED PERMIT. CONSTRUCT 3RD STORY ADDITION AND COVERED DECK ADDITION, WITH MINOR STRUCTURAL ALTERATIONS TO EXISTING SINGLE FAMILY RESIDENCE, PER PLAN		
					
			NON-STRUCTURAL INTERIOR ALTERATIONS TO THE LOWER LEVEL OF AN EXISTING SINGLE FAMILY RESIDENCE, PER LOCATION PLAN AND SUBJECT TO FIELD INSPECTION		
			ESTABLISH USE AS SINGLE FAMILY RESIDENCE 3-STORY ONE FAMILY DWELLING WITH SURFACE PARKING PER PLAN COMPLETE ABOVE WORK OF PERMIT: 727839		
			TO INTERIOR OF SINGLE FAMILY RESIDENCE (1ST & 2ND FLRS), SUBJECT TO FIELD INSPECTION		
		LOT 3, BLOCK 4, JOSEPH C KINNEAR'S ADD EXCPT POR DEEDED TO THE CITY PER KC#20100506000205. &quot;A.K.A. UNIT LOTS A-F, SP #3010537&quot;	Establish use and construct East 3 unit townhouse. (Establish use for two, 3 unit townhouses with surface parking per plan, 2 A/Ps under 6181788)	MULTIFAMILY	$519,700.00
GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	HOLMBERG COMPANY		INSTALL EXPANSION TANK, domestic cold water.	COMMERCIAL	
LOW VOLTAGE CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	HOLADAY PARKS INC		INSTALLING FLASH TANK inside chiller CH-2 cabinet	INSTITUTIONAL	
GENERAL CONTRACTOR LICENSE	U OF W CAPITOL PROJECTS	Government Lots 1, 2, 3, 4, 5 and 6; the west &#189; of the northwest &#188;, and the northwest &#188; of the southwest &#188;; Together with Blocks 7 & 8 of the Lake Washington Shorelands and Blocks 18 and 18a of the Lake Union Shorelands and the First Supplement thereto; all in Section 16, Township 25 N, Range 4 E, W.M.	Sprinklers for UW Molecular Engineering Building	INSTITUTIONAL	
			2ND STORY ADDITION	SINGLE FAMILY / DUPLEX	
			2-STORY ADDITION AND ALTERATIONS TO SINGLE FAMILY RESIDENCE, PER PLAN		
ELECTRICAL CONTRACTOR LICENSE	KOLYN ELECTRIC		RELOCATE OLD SERVICE TO NORTH EAST SIDE OF HOUSE.	SINGLE FAMILY / DUPLEX	
			CONSTRUCT ADDITION TO 2ND FLOOR AND INTERIOR ALTERATIONS TO EXISTING SINGLE FAMILY RESIDENCE, PER PLAN COMPLETE ABOVE WORK OF PERMIT: 706824		
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	METROPOLITAN SEWER SERVICE LLC		NEW CONNECTION TO EXISTING SS FOR NEW INTERIOR BATHROOM	SINGLE FAMILY / DUPLEX	
	CRYSTAL PALACE CONST LLC		Temporary power pole	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, REGIS. SID	WASHINGTON ENERGY SVCS (WESCO)		INSTALLING NEW BOILER	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	P K ELECTRIC COMPANY		KITCHEN REMODEL AND UPGRADE OF ELECTRICAL PANEL & METER AND GARAGE CIRCUIT	SINGLE FAMILY / DUPLEX	
			CONSTRUCT INTERIOR STAIR, REPLACE INTERIOR GWB, INTALL NEW INSULATION. REPLACE REAR AND FRONT PORCH CONSTRUCT NEW STAIRS TO BASEMENT - STFI		
ELECTRICAL CONTRACTOR LICENSE	VISION ELECTRIC INC		ADD CIRUIT FOR WORKSHOP.	SINGLE FAMILY / DUPLEX	
		THT PTN OF LTS 19 & 20, BLK 4 & OF TR #4, HUNTER'S LK UNION ADD TGW PTNS OF VAC STS &ALLEYS ADJ DAF: BEG AT NXN OF THE E LN OF THE W 30', LT 20 WITH THE N LN OF THE S 13', .....(SEE EDMS FILE)	Land Use Application to allow an addition to an existing single family residence in a required rear yard.	SINGLE FAMILY / DUPLEX	
		THE W 40' OF LOTS 8-9, BLOCK 4, B F DAYS ELDORADO ADDN	CLOSED AS INCOMPLETE - EXPIRED PERMIT. Construct Dormer Addition and alter existing single family reisidence first and second floor, per plan.	SINGLE FAMILY / DUPLEX	$44,884.00
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	MR ROOTER PLUMBING (SPOSARI'S)		SEWER REPAIR	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	BOWIE ELECTRIC SVC&SUPPLY INC		SUNROOM ADDITION	SINGLE FAMILY / DUPLEX	
	WRECKING BALL DEMO		DEMOLISH HOUSE AND DISCONNECT SEWER. CAPPING PERMIT	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	BURIEN NATURAL GAS SERVICE INC		REPLACE GAS FURNACE	SINGLE FAMILY / DUPLEX	
		W 40' OF E 487' OF N 66' OF S 840' OF SE 1/4 OF NW 1/4, 24-25-3	Construct interior alterations to existing front entry, add fireplace and new bedroom egress windows and construct new bathroom in basement to existing single family residence per plan, Subject to Field Inspection (STFI).	SINGLE FAMILY / DUPLEX	$10,000.00
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., ELECTRICAL CONTRACTOR LICENSE	HORECO INCORPORATED		INSTALLATION OF (2) NEW 93% AFUE GAS FURNACES.	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC., ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, ELECTRICAL	BRENNAN HEATING COMPANY INC		INSTALLING GAS FURNACE, 90% AFUE.	SINGLE FAMILY / DUPLEX	
			ESTABLISH USE AS SINGLE FAMILY RESIDENCE AND CONSTRUCT 2 STORY W/BASM ONE FAMILY DWELLING PER PLAN		
			ALTERATIONS TO FIRST & SECOND FLOORS OF SFR, ADD TWO DORMERS, ALTER BATHROOM. PER PLOT PLAN.STFI		
			Installing 2 ductless heat pumps.	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	SCOTTCO ELECTRIC INC		REMOVE EXISTING KNOB AND TUBE WIRING AND INSTALL SMOKE DETECTORS	SINGLE FAMILY / DUPLEX	
			CLOSED AS INCOMPLETE - EXPIRED PERMIT. INSTALL BELOW GRADE GREASE INTERCEPTOR (1,150 GAL) TO CAPTURE EFFLUENT WASTE PRIOR TO DISCHARGING TO THE EXISTING 8&quot; SANITARY SEWER	COMMERCIAL	
